,Province/State,Country,Date,confirmed_case,Death_case
0,,Afghanistan,2020-01-22,0,0
1,,Albania,2020-01-22,0,0
2,,Algeria,2020-01-22,0,0
3,,Andorra,2020-01-22,0,0
4,,Angola,2020-01-22,0,0
5,,Antigua and Barbuda,2020-01-22,0,0
6,,Argentina,2020-01-22,0,0
7,,Armenia,2020-01-22,0,0
8,Australian Capital Territory,Australia,2020-01-22,0,0
9,New South Wales,Australia,2020-01-22,0,0
10,Northern Territory,Australia,2020-01-22,0,0
11,Queensland,Australia,2020-01-22,0,0
12,South Australia,Australia,2020-01-22,0,0
13,Tasmania,Australia,2020-01-22,0,0
14,Victoria,Australia,2020-01-22,0,0
15,Western Australia,Australia,2020-01-22,0,0
16,,Austria,2020-01-22,0,0
17,,Azerbaijan,2020-01-22,0,0
18,,Bahamas,2020-01-22,0,0
19,,Bahrain,2020-01-22,0,0
20,,Bangladesh,2020-01-22,0,0
21,,Barbados,2020-01-22,0,0
22,,Belarus,2020-01-22,0,0
23,,Belgium,2020-01-22,0,0
24,,Benin,2020-01-22,0,0
25,,Bhutan,2020-01-22,0,0
26,,Bolivia,2020-01-22,0,0
27,,Bosnia and Herzegovina,2020-01-22,0,0
28,,Brazil,2020-01-22,0,0
29,,Brunei,2020-01-22,0,0
30,,Bulgaria,2020-01-22,0,0
31,,Burkina Faso,2020-01-22,0,0
32,,Cabo Verde,2020-01-22,0,0
33,,Cambodia,2020-01-22,0,0
34,,Cameroon,2020-01-22,0,0
35,Alberta,Canada,2020-01-22,0,0
36,British Columbia,Canada,2020-01-22,0,0
37,Grand Princess,Canada,2020-01-22,0,0
38,Manitoba,Canada,2020-01-22,0,0
39,New Brunswick,Canada,2020-01-22,0,0
40,Newfoundland and Labrador,Canada,2020-01-22,0,0
41,Nova Scotia,Canada,2020-01-22,0,0
42,Ontario,Canada,2020-01-22,0,0
43,Prince Edward Island,Canada,2020-01-22,0,0
44,Quebec,Canada,2020-01-22,0,0
45,Saskatchewan,Canada,2020-01-22,0,0
46,,Central African Republic,2020-01-22,0,0
47,,Chad,2020-01-22,0,0
48,,Chile,2020-01-22,0,0
49,Anhui,China,2020-01-22,1,0
50,Beijing,China,2020-01-22,14,0
51,Chongqing,China,2020-01-22,6,0
52,Fujian,China,2020-01-22,1,0
53,Gansu,China,2020-01-22,0,0
54,Guangdong,China,2020-01-22,26,0
55,Guangxi,China,2020-01-22,2,0
56,Guizhou,China,2020-01-22,1,0
57,Hainan,China,2020-01-22,4,0
58,Hebei,China,2020-01-22,1,0
59,Heilongjiang,China,2020-01-22,0,0
60,Henan,China,2020-01-22,5,0
61,Hong Kong,China,2020-01-22,0,0
62,Hubei,China,2020-01-22,444,17
63,Hunan,China,2020-01-22,4,0
64,Inner Mongolia,China,2020-01-22,0,0
65,Jiangsu,China,2020-01-22,1,0
66,Jiangxi,China,2020-01-22,2,0
67,Jilin,China,2020-01-22,0,0
68,Liaoning,China,2020-01-22,2,0
69,Macau,China,2020-01-22,1,0
70,Ningxia,China,2020-01-22,1,0
71,Qinghai,China,2020-01-22,0,0
72,Shaanxi,China,2020-01-22,0,0
73,Shandong,China,2020-01-22,2,0
74,Shanghai,China,2020-01-22,9,0
75,Shanxi,China,2020-01-22,1,0
76,Sichuan,China,2020-01-22,5,0
77,Tianjin,China,2020-01-22,4,0
78,Tibet,China,2020-01-22,0,0
79,Xinjiang,China,2020-01-22,0,0
80,Yunnan,China,2020-01-22,1,0
81,Zhejiang,China,2020-01-22,10,0
82,,Colombia,2020-01-22,0,0
83,,Congo (Brazzaville),2020-01-22,0,0
84,,Congo (Kinshasa),2020-01-22,0,0
85,,Costa Rica,2020-01-22,0,0
86,,Cote d'Ivoire,2020-01-22,0,0
87,,Croatia,2020-01-22,0,0
88,,Diamond Princess,2020-01-22,0,0
89,,Cuba,2020-01-22,0,0
90,,Cyprus,2020-01-22,0,0
