,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases 1M pop,Deaths 1M pop,Total Tests,Tests/ 1M pop,Continent
0,USA,"4,727,273","+21,384","157,170 ",+423,"2,329,402","+1,830","2,240,701","18,687","14,275",475,"58,687,788","177,215",North America
1,Brazil,"2,666,298",,"92,568 ",,"1,884,051",,"689,679","8,318","12,536",435,"13,096,132","61,575",South America
2,India,"1,735,745","+38,691","37,015  ",+464,"1,130,376","+34,729","568,354","8,944","1,257",27,"19,358,659","14,017",Asia
3,Russia,"845,443","+5,462","14,058 ",+95,"646,524","+8,114","184,861","2,300","5,793",96,"28,478,012","195,135",Europe
4,South Africa,"493,183",,"8,005 ",,"326,171",,"159,007",539,"8,307",135,"2,959,535","49,850",Africa
5,Mexico,"424,637","+8,458","46,688 ",+688,"278,618","+6,431","99,331","3,985","3,291",362,"984,288","7,628",North America
6,Peru,"414,735",,"19,217 ",,"287,127",,"108,391","1,414","12,564",582,"2,348,396","71,145",South America
7,Chile,"357,658","+1,991","9,533 ",+76,"330,507","+2,180","17,618","1,445","18,696",498,"1,623,992","84,893",South America
8,Spain,"335,602",,"28,445 ",,N/A,N/A,N/A,617,"7,178",608,"6,678,414","142,834",Europe
9,Iran,"306,752","+2,548","16,982 ",+216,"265,830","+2,311","23,940","4,011","3,648",202,"2,482,553","29,526",Asia
10,UK,"303,952",+771,"46,193 ",+74,N/A,N/A,N/A,86,"4,475",680,"16,019,907","235,878",Europe
11,Colombia,"295,508",,"10,105 ",,"154,387",,"131,016","1,493","5,803",198,"1,573,679","30,900",South America
12,Pakistan,"278,305",,"5,951 ",,"247,177",,"25,177","1,146","1,258",27,"1,973,237","8,920",Asia
13,Saudi Arabia,"277,478","+1,573","2,887 ",+21,"237,548","+1,890","37,043","2,016","7,960",83,"3,395,688","97,418",Asia
14,Italy,"247,832",+295,"35,146 ",+5,"200,229",+255,"12,457",43,"4,100",581,"6,873,496","113,698",Europe
15,Bangladesh,"239,860","+2,199","3,132 ",+21,"136,253","+1,117","100,475",1,"1,455",19,"1,185,611","7,193",Asia
16,Turkey,"230,873",,"5,691 ",,"214,535",,"10,647",582,"2,735",67,"4,800,823","56,873",Asia
17,Germany,"210,697",+32,"9,224 ",,"193,600","+1,300","7,873",261,"2,514",110,"8,006,135","95,531",Europe
18,Argentina,"191,302",,"3,558 ",+15,"86,499","+2,719","101,245","1,104","4,230",79,"722,950","15,984",South America
